name,symbol,token
GREENLAM,GREENLAM-EQ,6848
699RJ41,699RJ41-SG,2251
CANBK,CANBK-BL,12283
MAHSEAMLES,MAHSEAMLES-EQ,2088
CENTRALBK,CENTRALBK-EQ,14894
RECLTD,RECLTD-NF,2947
POLYMED,POLYMED-BL,25721
SALONA,SALONA-EQ,17351
PCBL,PCBL-BL,12672
HATSUN,HATSUN-BL,3895
OMAXAUTO,OMAXAUTO-EQ,10922
SGBJUL28IV,SGBJUL28IV-GB,22242
BPF01QDR,BPF01QDR-MF,18173
CHENNPETRO,CHENNPETRO-EQ,2049
NTPC,NTPC-EQ,11630
668KA36,668KA36-SG,1437
764UP36,764UP36-SG,14109
NCLIND,NCLIND-BL,14493
735HR33,735HR33-SG,16064
SHARIABEES,SHARIABEES-EQ,17044
JAGRAN,JAGRAN-EQ,13211
771AP33A,771AP33A-SG,14959
BHAGCHEM,BHAGCHEM-BL,6173
AAREYDRUGS,AAREYDRUGS-BE,5248
SAKHTISUG,SAKHTISUG-BL,12729
BERGEPAINT,BERGEPAINT-EQ,404
NUCLEUS,NUCLEUS-BL,12642
723WB41,723WB41-SG,2414
756RJ48,756RJ48-SG,14113
NITINSPIN,NITINSPIN-EQ,13175
718UP30,718UP30-SG,22213
M&MFIN,M&MFIN-N2,20048
TNTELE,TNTELE-BE,9884
CENTRUM,CENTRUM-BL,2457
714AP40,714AP40-SG,7549
GOKUL,GOKUL-BL,16708
SERVOTECH,SERVOTECH-EQ,5507
678JK33,678JK33-SG,3244
GALAXYSURF,GALAXYSURF-BL,1320
AIROLAM,AIROLAM-BL,6077
NIRAJ,NIRAJ-BE,261
FINOPB,FINOPB-BL,6584
HINDWAREAP,HINDWAREAP-EQ,15883
DPWIRES,DPWIRES-EQ,16900
767NL33A,767NL33A-SG,13967
SFMP64DR,SFMP64DR-MF,10880
UTFIAIPRRI,UTFIAIPRRI-MF,24061
ALLCARGO,ALLCARGO-BL,13505
NCLIND,NCLIND-EQ,14490
BALAMINES,BALAMINES-BL,14504
FOODSIN,FOODSIN-EQ,6673
698HR31,698HR31-SG,5229
IBULHSGFIN,IBULHSGFIN-Z8,11365
IKIO,IKIO-BL,16829
751MN35,751MN35-SG,18084
BOMDYEING,BOMDYEING-BL,12273
DAMODARIND,DAMODARIND-EQ,17541
NMDC,NMDC-EQ,15332
695AS30,695AS30-SG,21162
URBAN,URBAN-SM,16888
NBIFIN,NBIFIN-BL,19114
655AP33,655AP33-SG,864
773HR33,773HR33-SG,9441
ERIS,ERIS-EQ,21154
AKZOINDIA,AKZOINDIA-EQ,1467
722KA38,722KA38-SG,2398
TIIL,TIIL-EQ,14223
IBULHSGFIN,IBULHSGFIN-ZM,11857
APEX,APEX-EQ,21623
IBUCCREDIT,IBUCCREDIT-NP,15205
699JH30,699JH30-SG,22200
678KL31,678KL31-SG,3655
KEYFINSERV,KEYFINSERV-BL,12098
MARINE,MARINE-BL,1337
731TS60,731TS60-SG,22206
NAVINFLUOR,NAVINFLUOR-BL,14675
IBULHSGFIN,IBULHSGFIN-BS,18859
STERTOOLS,STERTOOLS-BL,13180
ITDCEM,ITDCEM-EQ,5622
SGIL,SGIL-BL,5117
728TS35,728TS35-SG,7815
722AP31A,722AP31A-SG,22032
ITI,ITI-BL,12497
UFDS2QPIP5,UFDS2QPIP5-MF,29870
505RJ24,505RJ24-SG,22270
724GJ29,724GJ29-SG,21169
PLASTIBLEN,PLASTIBLEN-EQ,13920
BIOFILCHEM,BIOFILCHEM-EQ,4136
AATMAJ,AATMAJ-SM,16961
HDFCLIFE,HDFCLIFE-EQ,467
774AP32,774AP32-SG,14373
747KL39,747KL39-SG,18097
ALPSINDUS,ALPSINDUS-BE,7623
NHAI,NHAI-NB,14497
UNICHEMLAB,UNICHEMLAB-BL,12855
ADANIENT,ADANIENT-BL,12184
POWERGRID,POWERGRID-EQ,14977
79RJ42,79RJ42-SG,9800
91D291223,91D291223-TB,19001
69PY28,69PY28-SG,7893
INGERRAND,INGERRAND-BL,12488
678GA31,678GA31-SG,4578
CIEINDIA,CIEINDIA-BL,14940
SITINET,SITINET-BL,14002
AURUMPP,AURUMPP-BL,9649
782GJ32,782GJ32-SG,10196
665WB28,665WB28-SG,3726
SILLYMONKS,SILLYMONKS-BL,19100
JKIL,JKIL-BL,15269
CREST,CREST-EQ,13900
WENDT,WENDT-EQ,4235
GRWRHITECH,GRWRHITECH-EQ,7982
618GS2024,618GS2024-GS,14251
MAXHEALTH,MAXHEALTH-EQ,22377
MAPMYINDIA,MAPMYINDIA-EQ,7227
685ML31,685ML31-SG,2937
692HR30,692HR30-SG,5415
KOTAKMNC,KOTAKMNC-BL,10678
CARTRADE,CARTRADE-EQ,5407
735KA39,735KA39-SG,2400
WSTCSTPAPR,WSTCSTPAPR-BL,12897
719KA40,719KA40-SG,2771
532RJ25,532RJ25-SG,1700
ARIHANTSUP,ARIHANTSUP-BL,20174
HAVELLS,HAVELLS-EQ,9819
MGL,MGL-EQ,17534
H1158D46RD,H1158D46RD-MF,10503
LTGILTBEES,LTGILTBEES-BL,17701
NIFTY INFRA,Nifty Infra,99926019
TVSHLTD,TVSHLTD-P1,16853
AURUM,AURUM-BL,10313
182D121023,182D121023-TB,15024
751HR29,751HR29-SG,13122
736AP38A,736AP38A-SG,17325
715TN27,715TN27-SG,22120
691MP40,691MP40-SG,629
726JH27,726JH27-SG,22196
AXISGOLD,AXISGOLD-BL,20533
SGBJUN31I,SGBJUN31I-GB,17202
TIMESCAN,TIMESCAN-SM,7800
769WB42,769WB42-SG,14347
732KA34,732KA34-SG,8006
ATL,ATL-BL,17779
697AS31A,697AS31A-SG,7295
702KA31,702KA31-SG,7524
751PN36,751PN36-SG,18087
GS220261C,GS220261C-GS,4555
682KL35,682KL35-SG,3083
786MH30,786MH30-SG,9821
SHRIPISTON,SHRIPISTON-BE,17190
HARRMALAYA,HARRMALAYA-EQ,1313
714PN32,714PN32-SG,7708
739TS51,739TS51-SG,16997
694JK36,694JK36-SG,7044
CGPOWER,CGPOWER-BL,12316
67MH28,67MH28-SG,158
YESBANK,YESBANK-BL,12900
KANSAINER,KANSAINER-BL,12406
774GA32,774GA32-SG,11597
DCW,DCW-EQ,817
TNPETRO,TNPETRO-EQ,3509
STEELXIND,STEELXIND-BL,21342
ICIL,ICIL-BL,12459
JPOLYINVST,JPOLYINVST-EQ,31507
UTIDFP35P2,UTIDFP35P2-MF,13152
DHAMPURSUG,DHAMPURSUG-BL,12330
UTFDQIPIGI,UTFDQIPIGI-MF,29754
ABSLFTTJDG,ABSLFTTJDG-MF,5104
568MH24,568MH24-SG,155
BRNL,BRNL-EQ,21683
GTECJAINX,GTECJAINX-BE,1135
AUTOBEES,AUTOBEES-BL,7882
PANAMAPET,PANAMAPET-EQ,25392
759TS40,759TS40-SG,13721
ONELIFECAP,ONELIFECAP-BL,25495
786JH34,786JH34-SG,11885
H1162D46RQ,H1162D46RQ-MF,8554
RECLTD,RECLTD-N9,30990
699GS2026,699GS2026-GS,15046
PRECOT,PRECOT-EQ,2711
DUGLOBAL,DUGLOBAL-SM,5457
BEL,BEL-BL,12251
BVCL,BVCL-BL,15076
IBULHSGFIN,IBULHSGFIN-Y5,7755
PGIMCSR1D,PGIMCSR1D-MF,17995
HILTON,HILTON-EQ,14627
736MZ38,736MZ38-SG,16934
741GS2036,741GS2036-GS,13194
PFC,PFC-EQ,14299
IFCI,IFCI-NM,6652
766SK33,766SK33-SG,14274
766TS34,766TS34-SG,13387
IDFC,IDFC-EQ,11957
H1861D46RG,H1861D46RG-MF,8455
720AS30,720AS30-SG,20358
743TS41,743TS41-SG,17840
CENTURYPLY,CENTURYPLY-BL,13309
473KA23,473KA23-SG,6986
784TS34,784TS34-SG,11409
743MZ36,743MZ36-SG,16261
NAZARA,NAZARA-BL,2995
HEXATRADEX,HEXATRADEX-EQ,27008
RADIOCITY,RADIOCITY-BL,19880
714SK30,714SK30-SG,22154
672AP28,672AP28-SG,20914
GFSTEELS,GFSTEELS-BE,11079
714KA29A,714KA29A-SG,22225
DYCL,DYCL-BE,10433
785KL35,785KL35-SG,10532
NAVA,NAVA-BL,12625
GS220236C,GS220236C-GS,4432
ALLCARGO,ALLCARGO-EQ,13501
VIJAYA,VIJAYA-EQ,5585
747PN34,747PN34-SG,17127
SSWL,SSWL-BL,12779
712KA34,712KA34-SG,7539
TOTAL,TOTAL-BL,22426
WSTCSTPAPR,WSTCSTPAPR-EQ,3799
KOPRAN,KOPRAN-EQ,1919
SILVER,SILVER-BL,8005
TATVA,TATVA-BL,5166
745TS47,745TS47-SG,18098
KAMDHENU,KAMDHENU-BL,13459
735GS2024,735GS2024-GS,6936
815GS2026,815GS2026-GS,7114
BLUEDART,BLUEDART-BL,12270
CINEVISTA,CINEVISTA-EQ,8024
MANGCHEFER,MANGCHEFER-EQ,15007
METROBRAND,METROBRAND-EQ,7242
SMSLIFE,SMSLIFE-BL,21554
CUPID,CUPID-BL,18523
53BR25,53BR25-SG,1207
758AP40,758AP40-SG,10911
CREDITACC,CREDITACC-N5,12465
364D191023,364D191023-TB,11611
PROLIFE,PROLIFE-SM,19352
DCMSHRIRAM,DCMSHRIRAM-EQ,811
ELIN,ELIN-EQ,13423
AMIABLE,AMIABLE-SM,11939
685RJ31,685RJ31-SG,2079
WEIZMANIND,WEIZMANIND-BL,12889
735AP39,735AP39-SG,15759
755AS32,755AS32-SG,11095
CYIENTDLM,CYIENTDLM-EQ,17187
AGROPHOS,AGROPHOS-EQ,9046
SGBAUG28V,SGBAUG28V-GB,22385
GKWLIMITED,GKWLIMITED-BL,17361
IRIS,IRIS-BE,6501
652MH30,652MH30-SG,1236
763JH30,763JH30-SG,14087
BHAGYANGR,BHAGYANGR-BE,20799
CREATIVE,CREATIVE-EQ,11155
GSLSU,GSLSU-BL,14608
661TS51,661TS51-SG,2017
UTKARSHBNK,UTKARSHBNK-EQ,17358
67PN30,67PN30-SG,21719
NAGAFERT,NAGAFERT-BL,17298
688TS25,688TS25-SG,22209
697TN31,697TN31-SG,5086
NAUKRI,NAUKRI-EQ,13751
VISASTEEL,VISASTEEL-BL,13299
SHRIRAMFIN,SHRIRAMFIN-Z9,12933
NARMADA,NARMADA-BL,11632
729GA29A,729GA29A-SG,22224
MONQ50,MONQ50-BL,7424
JBMA,JBMA-BL,12510
IRB,IRB-EQ,15313
833GS2036,833GS2036-GS,6883
687MH33A,687MH33A-SG,3574
GINNIFILA,GINNIFILA-BE,9294
FINPIPE,FINPIPE-BL,12369
XELPMOC,XELPMOC-EQ,8477
APOLLOTYRE,APOLLOTYRE-EQ,163
705WB36A,705WB36A-SG,7319
SEQUENT,SEQUENT-EQ,14296
FIBERWEB,FIBERWEB-BL,8161
XCHANGING,XCHANGING-BL,12741
KKVAPOW,KKVAPOW-SM,17781
MIRZAINT,MIRZAINT-BL,12599
BARBEQUE,BARBEQUE-EQ,3127
644UK30,644UK30-SG,853
664PY32,664PY32-SG,1730
728SK30,728SK30-SG,22155
695KA31,695KA31-SG,6210
QUICKHEAL,QUICKHEAL-BL,13119
RSWM,RSWM-BL,12696
741RJ33,741RJ33-SG,17456
HDFC1204RG,HDFC1204RG-MF,13548
MFSL,MFSL-BL,12590
SIRCA,SIRCA-BL,11052
MANKIND,MANKIND-EQ,15380
745PN34A,745PN34A-SG,18405
H1876D46DQ,H1876D46DQ-MF,8774
HEUBACHIND,HEUBACHIND-EQ,715
690UP30,690UP30-SG,22093
BLUEDART,BLUEDART-EQ,495
738GA33,738GA33-SG,17324
VIJAYA,VIJAYA-BL,5589
75GS2034,75GS2034-GS,6873
MAHABANK,MAHABANK-BL,12573
563GS2026,563GS2026-GS,3202
GS150325C,GS150325C-GS,4128
766KA42,766KA42-SG,12313
697PN31,697PN31-SG,5419
AARTIPP,AARTIPP-E1,14256
PIDILITIND,PIDILITIND-BL,12674
ICICIB22,ICICIB22-BL,525
HOVS,HOVS-BL,13596
746AP34,746AP34-SG,17124
ORIENTLTD,ORIENTLTD-BE,18211
QUICKTOUCH,QUICKTOUCH-SM,15285
364D250724,364D250724-TB,17470
LSIL,LSIL-BE,17805
HIL,HIL-EQ,1455
61RJ26,61RJ26-SG,3638
671TN29,671TN29-SG,6741
728UP32,728UP32-SG,7905
785KL34,785KL34-SG,9788
668AP35A,668AP35A-SG,1432
ICICIAUTO,ICICIAUTO-EQ,7844
BPF02RDR,BPF02RDR-MF,18095
ZODIAC,ZODIAC-BE,7138
PATANJALI,PATANJALI-BL,17067
KOTAKMNC,KOTAKMNC-EQ,10676
824GS2033,824GS2033-GS,7106
MONARCH,MONARCH-EQ,7679
713KA39,713KA39-SG,8302
MANAKCOAT,MANAKCOAT-BE,7417
787HP35,787HP35-SG,11869
65AP30,65AP30-SG,20654
BPF02IMD,BPF02IMD-MF,18065
IBULHSG,IBULHSG-N4,18906
ICICIFIN,ICICIFIN-EQ,12578
GANESHBE,GANESHBE-EQ,5614
RECLTD,RECLTD-N2,29111
SPANDANA,SPANDANA-BL,11437
GOLDETF,GOLDETF-BL,14288
SGBJAN27,SGBJAN27-GB,8308
NIFTYQLITY,NIFTYQLITY-BL,10692
PREMIERPOL,PREMIERPOL-BE,10401
722RJ32,722RJ32-SG,8492
CONCORDBIO,CONCORDBIO-BL,18078
CREDITACC,CREDITACC-BL,4425
KSOLVES,KSOLVES-BL,11073
685KA30,685KA30-SG,300
656MH30,656MH30-SG,776
673SK30,673SK30-SG,173
LEMONTREE,LEMONTREE-EQ,2606
BBETF0432,BBETF0432-EQ,7196
PENINLAND,PENINLAND-EQ,2256
DREAMFOLKS,DREAMFOLKS-EQ,10859
BAGFILMS,BAGFILMS-BE,14075
74TS45,74TS45-SG,16994
HIKAL,HIKAL-BL,12438
EXIDEIND,EXIDEIND-BL,12361
SALSTEEL,SALSTEEL-BE,11637
INDUSTOWER,INDUSTOWER-BL,29138
SCI,SCI-EQ,3048
TORNTPHARM,TORNTPHARM-BL,12840
IDEAFORGE,IDEAFORGE-EQ,17140
BAYERCROP,BAYERCROP-BL,17930
INDSWFTLTD,INDSWFTLTD-BL,12484
GENSOL,GENSOL-EQ,17010
ANANTRAJ,ANANTRAJ-EQ,13620
IBULHSGFIN,IBULHSGFIN-Z4,11342
BPF01MDR,BPF01MDR-MF,18171
JSWHL,JSWHL-EQ,11880
SFMP1DR,SFMP1DR-MF,9517
IBULHSGFIN,IBULHSGFIN-ZP,13438
604AS26,604AS26-SG,7038
91D071223,91D071223-TB,18414
786HR32,786HR32-SG,10202
DPSCLTD,DPSCLTD-BL,15422
PHANTOMFX,PHANTOMFX-SM,11612
EPIGRAL,EPIGRAL-EQ,5382
ICIL,ICIL-EQ,11987
HDFCNIF100,HDFCNIF100-EQ,10633
702AP37,702AP37-SG,6352
69GA30A,69GA30A-SG,440
769TN43,769TN43-SG,14349
LICMFGOLD,LICMFGOLD-BL,25641
703UP30,703UP30-SG,22087
SPLIL,SPLIL-BL,12774
765NL32,765NL32-SG,13247
VINYLINDIA,VINYLINDIA-EQ,16821
CREDITACC,CREDITACC-N9,18471
IRFC,IRFC-NG,11730
745PN34,745PN34-SG,16981
TIRUMALCHM,TIRUMALCHM-BL,12834
DEEPENR,DEEPENR-BE,18248
BTML,BTML-EQ,14150
72KL56,72KL56-SG,4899
SUNDRMFAST,SUNDRMFAST-EQ,3345
HDFCSML250,HDFCSML250-BL,14235
ICICIB22,ICICIB22-EQ,522
RECLTD,RECLTD-NB,2931
70AP39,70AP39-SG,318
739RJ48,739RJ48-SG,16995
HDFCNIFBAN,HDFCNIFBAN-BL,22435
792AP42A,792AP42A-SG,10257
MANGALAM,MANGALAM-BL,12580
EIMCOELECO,EIMCOELECO-EQ,4040
BOROLTD,BOROLTD-EQ,19401
GSEC10YEAR,GSEC10YEAR-BL,14944
663UP30,663UP30-SG,614
BATAINDIA,BATAINDIA-EQ,371
703TN30,703TN30-SG,8321
737PN42,737PN42-SG,8718
GULFOILLUB,GULFOILLUB-EQ,4391
IOC,IOC-EQ,1624
686HP30,686HP30-SG,6878
SHREYAS,SHREYAS-BL,12147
BIGBLOC,BIGBLOC-BL,18434
RAJSREESUG,RAJSREESUG-BL,12698
UTIDQP35P2,UTIDQP35P2-MF,13155
718MN31,718MN31-SG,2679
IOB,IOB-BL,12491
648AP32,648AP32-SG,21039
784TS39,784TS39-SG,11767
MUTHOOTFIN,MUTHOOTFIN-BL,23653
TCFSL,TCFSL-NM,12961
WINDLAS,WINDLAS-EQ,5366
589RJ25,589RJ25-SG,22404
777MP47,777MP47-SG,14850
WALPAR,WALPAR-SM,5013
705MZ29,705MZ29-SG,8130
661UP31,661UP31-SG,1891
GTL,GTL-BE,4821
SHIVALIK,SHIVALIK-EQ,7016
718AP40,718AP40-SG,7713
IBULHSGFIN,IBULHSGFIN-YL,9195
DCMSHRIRAM,DCMSHRIRAM-BL,12325
IIFL,IIFL-NS,13852
BSOFT,BSOFT-EQ,6994
66UP31,66UP31-SG,1842
BUTTERFLY,BUTTERFLY-BL,2725
795TS35,795TS35-SG,10382
669PN30,669PN30-SG,590
799TN42,799TN42-SG,9834
734TN43,734TN43-SG,16939
DATAMATICS,DATAMATICS-BL,12323
GOLDSHARE,GOLDSHARE-EQ,14535
AMRUTANJAN,AMRUTANJAN-BL,17545
619GS2034,619GS2034-GS,18973
RELINFRA,RELINFRA-BL,12711
3PLAND,3PLAND-BL,12662
665KA35,665KA35-SG,1531
PERSISTENT,PERSISTENT-EQ,18365
FCONSUMER,FCONSUMER-BE,30041
765RJ33,765RJ33-SG,13881
ARVIND,ARVIND-BL,12214
SHARIABEES,SHARIABEES-BL,17045
MANINFRA,MANINFRA-BL,18229
HCC,HCC-BL,12442
ALKALI,ALKALI-EQ,16959
UGROCAP,UGROCAP-N3,9352
728JH37,728JH37-SG,8360
727GS2026,727GS2026-GS,9537
DANGEE,DANGEE-EQ,1110
IBUCCREDIT,IBUCCREDIT-NU,15235
GLAND,GLAND-BL,1194
BAFNAPH,BAFNAPH-BE,17735
H1876D46DD,H1876D46DD-MF,8770
RELCHEMQ,RELCHEMQ-BL,9658
BIRLACORPN,BIRLACORPN-BL,12267
DELPHIFX,DELPHIFX-EQ,24391
828GS2032,828GS2032-GS,6885
726HR32,726HR32-SG,8575
PAKKA,PAKKA-EQ,17197
TARAPUR,TARAPUR-BE,18831
BHARATRAS,BHARATRAS-EQ,3834
ANTGRAPHIC,ANTGRAPHIC-BL,12205
KEI,KEI-EQ,13310
THOMASCOOK,THOMASCOOK-BE,6231
IBULHSGFIN,IBULHSGFIN-BC,17564
NIFTY FMCG,Nifty FMCG,99926021
NPBET,NPBET-BL,12979
INDOBORAX,INDOBORAX-BE,8623
762GS2039,762GS2039-GS,9538
75HP37,75HP37-SG,10961
575KA25,575KA25-SG,21928
SYNGENE,SYNGENE-BL,10245
ELECTHERM,ELECTHERM-BE,14902
HDFCBANK,HDFCBANK-BL,12431
797PN38,797PN38-SG,14836
SAKSOFT,SAKSOFT-BL,12142
NOIDATOLL,NOIDATOLL-EQ,10786
TASTYBITE,TASTYBITE-EQ,20092
ARVSMART,ARVSMART-EQ,10457
763GJ32,763GJ32-SG,13916
662TS41,662TS41-SG,1959
GANESHHOUC,GANESHHOUC-BL,14342
714TS41,714TS41-SG,5237
DSSL,DSSL-EQ,25690
DIVISLAB,DIVISLAB-EQ,10940
BSLNIFTY,BSLNIFTY-EQ,24781
AILIMITED,AILIMITED-SM,4626
MEDANTA,MEDANTA-BL,11962
CMRSL,CMRSL-SM,11447
702UP31,702UP31-SG,5335
782HP32,782HP32-SG,10247
RELAXO,RELAXO-EQ,24225
JAINAM,JAINAM-SM,6012
68TS50A,68TS50A-SG,1098
ASHOKA,ASHOKA-EQ,20182
HILTON,HILTON-BL,14629
SBIETFIT,SBIETFIT-EQ,740
KOLTEPATIL,KOLTEPATIL-EQ,15124
NIFTY REALTY,Nifty Realty,99926018
GAEL,GAEL-EQ,8828
CTE,CTE-BE,14222
673TN30,673TN30-SG,22122
78TN32A,78TN32A-SG,10460
712AS32A,712AS32A-SG,8295
MOXSH,MOXSH-SM,13502
ABSLLIQUID,ABSLLIQUID-EQ,14518
DECCANCE,DECCANCE-BL,14841
695SK30,695SK30-SG,22156
MINDSPACE,MINDSPACE-RR,22308
ADVENZYMES,ADVENZYMES-EQ,18039
HINDUNILVR,HINDUNILVR-BL,12443
HINDWAREAP,HINDWAREAP-BL,15940
717KL32,717KL32-SG,8329
GS220850C,GS220850C-GS,4553
739JK37,739JK37-SG,8496
HOMESFY,HOMESFY-SM,13526
ICICIM150,ICICIM150-BL,17154
CELLECOR,CELLECOR-ST,18811
WEBELSOLAR,WEBELSOLAR-BL,14605
ECLERX,ECLERX-EQ,15179
MOLDTKPAC,MOLDTKPAC-BL,6727
BFUTILITIE,BFUTILITIE-BL,14570
AHLADA,AHLADA-BL,2008
755AP29,755AP29-SG,12661
767WB39,767WB39-SG,13399
SUNDRMBRAK,SUNDRMBRAK-BL,12790
BINANIIND,BINANIIND-BE,13622
IMC1,IMC1-N2,14224
777GJ31,777GJ31-SG,9771
NUCLEUS,NUCLEUS-EQ,10791
MURUDCERA,MURUDCERA-EQ,2313
757GJ31,757GJ31-SG,13369
JBMA,JBMA-BE,11656
719TN32,719TN32-SG,8491
PSUBNKBEES,PSUBNKBEES-BL,15033
SEAMECLTD,SEAMECLTD-EQ,2616
670TN50,670TN50-SG,22128
